Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,0.31,0.61,0.2894812516933364
100% Corpus,3,0.31,0.9099999999999999,0.25927723579072
100% Corpus,3,0.31,symmetric,0.3365936774758036
100% Corpus,3,0.61,0.01,0.3157806704114768
100% Corpus,3,0.61,0.31,0.34668457564292554
100% Corpus,3,0.61,0.61,0.312452945767422
100% Corpus,3,0.61,0.9099999999999999,0.29007998327777657
100% Corpus,3,0.61,symmetric,0.35049333029570623
100% Corpus,3,0.9099999999999999,0.01,0.35727647271876456
100% Corpus,3,0.9099999999999999,0.31,0.3680854783494983
100% Corpus,3,0.9099999999999999,0.61,0.33275564610119013
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.33493308188017695
100% Corpus,3,0.9099999999999999,symmetric,0.35077903683479134
100% Corpus,3,symmetric,0.01,0.35132200885696063
100% Corpus,3,symmetric,0.31,0.3276982048337011
100% Corpus,3,symmetric,0.61,0.30563823466555906
100% Corpus,3,symmetric,0.9099999999999999,0.27393198052182127
100% Corpus,3,symmetric,symmetric,0.3376595339888367
100% Corpus,3,asymmetric,0.01,0.3421091489036012
100% Corpus,3,asymmetric,0.31,0.41990205579647927
100% Corpus,3,asymmetric,0.61,0.4895343599626145
100% Corpus,3,asymmetric,0.9099999999999999,0.5284718816323394
100% Corpus,3,asymmetric,symmetric,0.42484963966290556
100% Corpus,4,0.01,0.01,0.296951183379508
100% Corpus,4,0.01,0.31,0.3427983405658037
100% Corpus,4,0.01,0.61,0.27909156474631003
100% Corpus,4,0.01,0.9099999999999999,0.29415401930963664
100% Corpus,4,0.01,symmetric,0.34002448309393163
100% Corpus,4,0.31,0.01,0.3223461822529498
100% Corpus,4,0.31,0.31,0.29642289960286095
100% Corpus,4,0.31,0.61,0.29507774351936145
100% Corpus,4,0.31,0.9099999999999999,0.3051775696323925
100% Corpus,4,0.31,symmetric,0.297875124471194
100% Corpus,4,0.61,0.01,0.3405524464055807
100% Corpus,4,0.61,0.31,0.3525599505524385
100% Corpus,4,0.61,0.61,0.33481369085554413
100% Corpus,4,0.61,0.9099999999999999,0.3123137001341375
100% Corpus,4,0.61,symmetric,0.34090852727542975
100% Corpus,4,0.9099999999999999,0.01,0.3749751363350262
100% Corpus,4,0.9099999999999999,0.31,0.3228730771896972
100% Corpus,4,0.9099999999999999,0.61,0.29813878902318036
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.3429789492967976
100% Corpus,4,0.9099999999999999,symmetric,0.3315700921035404
100% Corpus,4,symmetric,0.01,0.2911522797963185
100% Corpus,4,symmetric,0.31,0.2956440491613662
100% Corpus,4,symmetric,0.61,0.3089237664782197
100% Corpus,4,symmetric,0.9099999999999999,0.34461681686844864
100% Corpus,4,symmetric,symmetric,0.3018916280870142
100% Corpus,4,asymmetric,0.01,0.37869131550165436
100% Corpus,4,asymmetric,0.31,0.4392206037032599
100% Corpus,4,asymmetric,0.61,0.5111580142029031
100% Corpus,4,asymmetric,0.9099999999999999,0.5228763607885114
100% Corpus,4,asymmetric,symmetric,0.44785259327039284
100% Corpus,5,0.01,0.01,0.3519936888158701
100% Corpus,5,0.01,0.31,0.3385044406903326
100% Corpus,5,0.01,0.61,0.2994468331884595
100% Corpus,5,0.01,0.9099999999999999,0.3108954017758439
100% Corpus,5,0.01,symmetric,0.3342550290993086
100% Corpus,5,0.31,0.01,0.3640178290246796
100% Corpus,5,0.31,0.31,0.38174479683686924
100% Corpus,5,0.31,0.61,0.4191982189761482
100% Corpus,5,0.31,0.9099999999999999,0.3973063617164577
100% Corpus,5,0.31,symmetric,0.3857502472188626
100% Corpus,5,0.61,0.01,0.3768311431054242
100% Corpus,5,0.61,0.31,0.3384592309252139
100% Corpus,5,0.61,0.61,0.3516631672643517
100% Corpus,5,0.61,0.9099999999999999,0.37022436916875734
100% Corpus,5,0.61,symmetric,0.3493516669346368
100% Corpus,5,0.9099999999999999,0.01,0.41151526936177196
100% Corpus,5,0.9099999999999999,0.31,0.3357793542555076
100% Corpus,5,0.9099999999999999,0.61,0.3369182150306026
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.34184199035809054
100% Corpus,5,0.9099999999999999,symmetric,0.3629949129409912
100% Corpus,5,symmetric,0.01,0.35991852562658944
100% Corpus,5,symmetric,0.31,0.38995929093487125
100% Corpus,5,symmetric,0.61,0.3671301518937142
100% Corpus,5,symmetric,0.9099999999999999,0.33644599039508377
100% Corpus,5,symmetric,symmetric,0.36538045416673837
100% Corpus,5,asymmetric,0.01,0.3910843821525014
100% Corpus,5,asymmetric,0.31,0.49362446570501445
100% Corpus,5,asymmetric,0.61,0.513927272851665
100% Corpus,5,asymmetric,0.9099999999999999,0.46528679258878186
100% Corpus,5,asymmetric,symmetric,0.475332431442705
100% Corpus,6,0.01,0.01,0.3535511899269083
100% Corpus,6,0.01,0.31,0.3477622387636243
100% Corpus,6,0.01,0.61,0.3204992154645278
100% Corpus,6,0.01,0.9099999999999999,0.3122084591465496
100% Corpus,6,0.01,symmetric,0.3666365841551144
100% Corpus,6,0.31,0.01,0.39890663546398625
100% Corpus,6,0.31,0.31,0.39105946618235027
100% Corpus,6,0.31,0.61,0.3666924152385708
100% Corpus,6,0.31,0.9099999999999999,0.40912501423614
100% Corpus,6,0.31,symmetric,0.4050713069281411
100% Corpus,6,0.61,0.01,0.41330474382165977
100% Corpus,6,0.61,0.31,0.33391656954860327
100% Corpus,6,0.61,0.61,0.36590943318605024
100% Corpus,6,0.61,0.9099999999999999,0.3982102587805696
100% Corpus,6,0.61,symmetric,0.38053339728013863
100% Corpus,6,0.9099999999999999,0.01,0.4405941689523933
100% Corpus,6,0.9099999999999999,0.31,0.35277488181296485
100% Corpus,6,0.9099999999999999,0.61,0.32525902233838644
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.34501793226447597
100% Corpus,6,0.9099999999999999,symmetric,0.38069602256079166
100% Corpus,6,symmetric,0.01,0.33662447605756257
100% Corpus,6,symmetric,0.31,0.35670354826409406
100% Corpus,6,symmetric,0.61,0.35283945857221877
100% Corpus,6,symmetric,0.9099999999999999,0.3448272130454262
100% Corpus,6,symmetric,symmetric,0.35772181933748026
100% Corpus,6,asymmetric,0.01,0.38923753105525255
100% Corpus,6,asymmetric,0.31,0.48737803968695537
100% Corpus,6,asymmetric,0.61,0.48867533830940096
100% Corpus,6,asymmetric,0.9099999999999999,0.5152730456415836
100% Corpus,6,asymmetric,symmetric,0.48191469201992626
100% Corpus,7,0.01,0.01,0.37112467952777406
100% Corpus,7,0.01,0.31,0.37680130314338006
100% Corpus,7,0.01,0.61,0.3688916579344482
100% Corpus,7,0.01,0.9099999999999999,0.41887441025718264
100% Corpus,7,0.01,symmetric,0.31811380705156556
100% Corpus,7,0.31,0.01,0.4241674630569442
100% Corpus,7,0.31,0.31,0.41877599922883235
100% Corpus,7,0.31,0.61,0.43264937713379864
100% Corpus,7,0.31,0.9099999999999999,0.4078916570679666
100% Corpus,7,0.31,symmetric,0.4376327906150529
100% Corpus,7,0.61,0.01,0.4380321027904054
100% Corpus,7,0.61,0.31,0.3859011926066827
100% Corpus,7,0.61,0.61,0.3718950022116382
100% Corpus,7,0.61,0.9099999999999999,0.40971240335243014
100% Corpus,7,0.61,symmetric,0.40381172546117805
100% Corpus,7,0.9099999999999999,0.01,0.4478643497669856
100% Corpus,7,0.9099999999999999,0.31,0.36898785988404625
100% Corpus,7,0.9099999999999999,0.61,0.3371627174692818
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.36251414587250724
100% Corpus,7,0.9099999999999999,symmetric,0.3896419019349576
100% Corpus,7,symmetric,0.01,0.4117810330075162
100% Corpus,7,symmetric,0.31,0.3890089158895812
100% Corpus,7,symmetric,0.61,0.3687970029676676
100% Corpus,7,symmetric,0.9099999999999999,0.40698392190060273
100% Corpus,7,symmetric,symmetric,0.36457648527980163
100% Corpus,7,asymmetric,0.01,0.4547320678989964
100% Corpus,7,asymmetric,0.31,0.5185272648486421
100% Corpus,7,asymmetric,0.61,0.5311639443661681
100% Corpus,7,asymmetric,0.9099999999999999,0.4436602886631992
100% Corpus,7,asymmetric,symmetric,0.482767160126165
